name,url
Dịch vụ lắp ráp cài đặt Laptop/ PC,https://xgear.net/products/dich-vu-lap-rap-cai-dat-laptop-pc
Dịch vụ vệ sinh,https://xgear.net/products/dich-vu-ve-sinh-laptop-pc
Laptop Acer Gaming Aspire 7 A715 59G 79XF,https://xgear.net/products/laptop-acer-gaming-aspire-7-a715-59g-79xf
Laptop Acer Gaming Nitro ProPanel AN16S-61-R7ZJ,https://xgear.net/products/laptop-acer-gaming-nitro-propanel-an16s-61-r7zj-nh-qxfsv-002
Laptop Acer Gaming Nitro ProPanel AN16S-61-R9CN,https://xgear.net/products/laptop-acer-gaming-nitro-propanel-an16s-61-r9cn-nh-qxgsv-001
"Laptop Acer Gaming Nitro V ANV15-41-R2UP (Ryzen 5 6600H, RTX 2050, 144Hz)",https://xgear.net/products/laptop-acer-gaming-nitro-v-anv15-41-r2up
Laptop Gaming Acer Nitro 5 Eagle AN515 57 54MV / 553E,https://xgear.net/products/laptop-acer-nitro-5-an515-57-54mv
Laptop Gaming Acer Nitro 5 Tiger AN515 58 52SP i5 12500H/8GB/512GB/15.6F 144Hz/RTX3050 4GB/Win11,https://xgear.net/products/laptop-acer-nitro-5-tiger-an515-58-52sp
Laptop Gaming Acer Nitro ProPanel ANV16-72-782F,https://xgear.net/products/laptop-acer-nitro-propanel-anv16-72-782f
Laptop Acer Predator Helios 18 PH18 71 981G,https://xgear.net/products/laptop-acer-predator-helios-18-ph18-71-981g
Laptop ASUS ProArt P16 H7606WP SR335W,https://xgear.net/products/laptop-asus-proart-p16-h7606wp-sr335w
Laptop ASUS ROG Flow Z13 GZ302EAC-RU184WS (Ryzen AI MAX+ 395 | Radeon 8060S | 128GB | 1TB | 2.5K),https://xgear.net/products/laptop-asus-rog-flow-z13-gz302eac-ru184ws
Laptop Gaming ASUS ROG Zephyrus G16 GU606AW TB121W (Ultra 9 386H | RTX 5080 | 32GB | 1TB | 16.0 WQXGA OLED 240Hz),https://xgear.net/products/laptop-asus-rog-gu606aw-tb121w-u9
Laptop ASUS ROG Strix G16 G614PH-S5101W (Ryzen 9 | RTX 5050 | 16GB | 512GB | 2.5K ),https://xgear.net/products/laptop-asus-rog-strix-g16-g614ph-s5101w
Laptop ASUS ROG Strix G16 G614PH-TS118W,https://xgear.net/products/laptop-asus-rog-strix-g16-g614ph-ts118w
